"Proc","EventDur","EC1","EC2","EC3","Time","SeqIndx"
16,128,2,245,418,8,1
16,106,2,245,418,8,1
16,124,2,245,418,9,1
16,145,1,100,0,16,3
16,126,2,245,418,9,1
16,144,1,100,0,13,3
16,13820,2,204,319,11,157
16,90,2,245,418,9,1
16,13892,2,204,319,11,157
16,128,1,100,0,13,3
16,145,2,245,418,9,1
16,106,2,245,418,7,1
16,180,2,245,418,8,1
16,440,2,245,418,7,1
16,100,2,245,418,9,1
16,108,2,245,418,8,1
16,134,1,100,0,21,3
16,102,2,245,418,7,1
16,404,2,245,418,8,4
16,134,1,100,0,4,3
16,100,2,245,418,7,1
16,138,2,245,418,6,1
16,98,2,245,418,5,1
16,96,2,245,418,6,1
16,96,2,245,418,9,1
16,142,1,100,0,21,3
16,152,2,245,418,6,1
16,90,2,245,418,8,1
16,104,2,245,418,7,1
16,86,2,245,418,6,1
16,152,1,100,0,18,3
16,92,2,245,418,6,1
16,100,2,245,418,8,1
16,132,1,100,0,29,3
16,104,2,245,418,7,1
16,130,1,100,0,16,3
16,96,2,245,418,6,1
16,126,1,100,0,4,3
16,106,2,245,418,6,1
16,156,2,245,418,8,1
16,134,1,100,0,28,3
16,96,2,245,418,10,1
16,142,1,100,0,19,3
16,108,2,245,418,6,1
16,128,1,100,0,4,3
16,96,2,245,418,6,1
16,206,2,204,317,10,61
16,90,2,245,418,6,1
16,108,2,245,418,7,1
16,132,1,100,0,4,3
16,126,1,100,0,29,3
16,116,2,245,418,8,1
16,104,2,245,418,8,1
16,142,2,245,418,9,1
16,140,2,245,418,9,1
16,126,1,100,0,29,3
16,119,2,245,418,6,1
16,100,2,245,418,6,1
16,156,1,100,0,27,3
16,96,2,245,418,5,1
16,138,1,100,0,23,3
16,142,1,100,0,24,3
16,96,2,245,418,6,1
16,98,2,245,418,10,1
16,142,2,245,418,9,1
16,170,1,100,0,17,3
16,122,1,100,0,28,3
16,98,2,245,418,7,1
16,118,2,245,418,8,1
16,116,2,245,418,9,1
16,126,2,245,418,6,1
16,98,2,245,418,8,1
16,148,2,245,418,8,1
16,116,2,245,418,9,1
16,128,1,100,0,25,3
16,94,2,245,418,7,1
16,132,2,245,418,7,1
16,10,2,245,418,6,2
16,142,1,100,0,23,3
16,300,1,100,0,28,16
16,112,2,245,418,7,1
16,92,2,245,418,7,1
16,482,1,100,0,18,15
16,144,2,245,418,8,1
16,110,2,245,418,8,1
16,96,2,245,418,8,1
16,95,2,245,418,7,1
16,98,2,245,418,8,1
16,474,2,245,418,8,1
16,150,2,245,418,7,1
16,124,2,245,418,7,1
16,114,2,245,418,8,1
16,138,1,100,0,16,3
16,122,1,100,0,28,3
16,92,2,245,418,8,1
16,96,2,245,418,8,1
16,98,2,245,418,9,1
16,218,2,204,317,12,61
16,152,1,100,0,21,3
16,92,2,245,418,8,1
16,140,2,245,418,7,1
16,107,2,245,418,8,1
16,114,2,245,418,8,1
16,162,2,245,418,8,1
16,426,2,245,418,9,5
16,184,1,100,0,18,20
16,102,1,100,0,29,3
16,98,2,245,418,6,1
16,54,2,245,418,6,2
16,140,2,245,418,7,1
16,140,1,100,0,21,3
16,118,1,100,0,23,3
16,126,1,100,0,27,3
16,94,2,245,418,7,1
16,94,2,245,418,6,1
16,116,2,245,418,6,1
16,108,2,245,418,7,1
16,102,2,245,418,7,1
